Latitude,Longitude,ВСЬОГО,ТЯЖКІ ТА О.ТЯЖКІ,ВБИВСТВО,УМИСНЕ ТЯЖ ТІЛ УШКОДЖЕННЯ,ТЯЖ ТІЛ УШКОДЖ ЗІ СМЕРТ. НАСЛ.,ЗГВАЛТУВАННЯ,КРАДІЖКА,ГРАБІЖ,РОЗБІЙ,ВИМАГАННЯ,ШАХРАЙСТВО,ЗАВОЛОД Т/З,ХУЛІГАНСТВО
50.464151,30.634857,1,0,0,0,0,0,1,0,0,0,0,0,0
50.464334,30.635535,2,0,0,0,0,0,1,0,0,0,1,0,0
50.465448,30.637836,3,0,0,0,0,0,2,1,0,0,0,0,0
50.467,30.643568,2,0,0,0,0,0,0,0,0,0,1,0,0
50.468002,30.64763,3,0,0,0,0,0,1,0,0,0,0,0,0
50.4633587,30.6333671,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4633587,30.6333671,1,0,0,0,0,0,0,0,0,0,0,0,0
50.4501,30.5234,3,1,0,0,0,0,2,0,0,0,0,0,0
50.4501,30.5234,4,0,0,0,0,0,4,0,0,0,0,0,0
50.4501,30.5234,1,0,0,0,0,0,1,0,0,0,0,0,0
49.985027,36.213485,1,0,0,0,0,0,1,0,0,0,0,0,0
50.3932674,30.6974311,1,0,0,0,0,0,0,0,0,0,0,0,0
50.392979,30.698024,3,0,0,0,0,0,2,0,0,0,0,0,0
50.389598,30.692565,1,0,0,0,0,0,0,0,0,0,0,0,0
50.386818,30.709291,2,0,0,0,0,0,1,0,0,0,1,0,0
50.4265036,30.5256392,1,1,0,0,0,0,0,0,0,0,1,0,0
50.4265036,30.5256392,1,0,0,0,0,0,0,0,0,0,0,0,0
50.452106,30.628159,1,0,0,0,0,0,0,0,0,0,1,0,0
50.453061,30.627528,1,0,0,0,0,0,0,1,0,0,0,0,0
50.452553,30.628505,1,1,0,0,0,0,1,0,0,0,0,0,0
50.453513,30.627877,1,0,0,0,0,0,0,0,0,0,1,0,0
50.45451,30.626152,1,0,0,0,0,0,0,0,0,0,0,0,0
50.404461,30.423756,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4066952,30.421658,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4111916,30.4183551,1,0,0,0,0,0,0,0,0,0,0,0,0
50.3772751,30.537131,1,0,0,0,0,0,0,0,0,0,0,0,0
50.450786,30.380227,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4756166,30.5960824,1,0,0,0,0,0,0,0,0,0,0,0,0
50.4764382,30.5957953,2,0,0,0,0,0,2,0,0,0,0,0,0
50.4442,30.361098,1,0,0,0,0,0,1,0,0,0,0,0,0
50.443866,30.364564,1,0,0,0,0,0,1,0,0,0,0,0,0
50.444016,30.360572,6,1,0,0,0,0,4,0,0,0,1,0,0
50.443362,30.359401,4,0,0,0,0,0,2,0,0,0,0,0,0
50.4442,30.361098,15,0,0,0,0,0,12,0,0,0,2,0,0
50.444085,30.361657,1,0,0,0,0,0,0,0,0,0,0,0,0
50.443727,30.360721,1,0,0,0,0,0,1,0,0,0,0,0,0
50.444196,30.362225,2,1,0,0,0,0,0,1,0,0,0,0,0
50.444156,30.363728,1,1,0,0,0,0,1,0,0,0,0,0,0
50.45341,30.487272,1,0,0,0,0,0,0,0,0,0,1,0,0
50.4537343,30.4876508,1,0,0,0,0,0,0,0,0,0,0,0,0
50.509078,30.584621,1,0,0,0,0,0,0,0,0,0,0,0,0
50.523632,30.444775,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4552326,30.6188218,1,1,0,0,0,0,0,0,0,0,0,0,0
50.430086,30.364992,13,1,0,0,0,0,6,2,0,0,2,0,1
50.429642,30.365509,4,0,0,0,0,0,1,0,0,0,2,0,0
50.432414,30.365964,5,0,0,0,0,0,1,0,0,0,2,0,0
50.42982,30.367194,2,0,0,0,0,0,0,0,0,0,1,0,0
50.466938,30.5092176,2,0,0,0,0,0,2,0,0,0,0,0,0
50.392798,30.699146,7,1,0,0,0,0,4,0,0,0,2,0,0
50.392605,30.698746,1,0,0,0,0,0,0,0,0,0,0,0,0
50.466865,30.509119,1,0,0,0,0,0,0,0,0,0,0,0,0
50.467182,30.509176,1,0,0,0,0,0,1,0,0,0,0,0,0
50.467517,30.509282,3,2,0,0,0,0,3,0,0,0,0,0,0
50.46765,30.50752,1,0,0,0,0,0,1,0,0,0,0,0,0
50.4645503,30.5127838,1,0,0,0,0,0,0,0,0,0,0,0,0
50.415861,30.537983,1,0,0,0,0,0,1,0,0,0,0,0,0
50.385749,30.70461,1,0,0,0,0,0,0,0,0,0,0,0,0
50.521771,30.594421,1,0,0,0,0,0,1,0,0,0,0,0,0
50.424265,30.522329,2,0,0,0,0,0,1,0,0,0,0,0,1
50.425167,30.524314,3,1,0,0,0,0,0,0,0,0,2,0,0
50.42553,30.527593,2,0,0,0,0,0,2,0,0,0,0,0,0
50.426778,30.529361,1,0,0,0,0,0,0,0,0,0,1,0,0
50.428076,30.529923,1,0,0,0,0,0,1,0,0,0,0,0,0
50.428318,30.531721,1,0,0,0,0,0,0,0,0,0,0,0,0
50.428572,30.532809,1,0,0,0,0,0,0,0,0,0,1,0,0
50.427865,30.534046,2,1,0,0,0,0,0,1,0,0,0,0,0
50.424666,30.534694,2,0,0,0,0,0,1,0,0,0,0,0,0
50.427283,30.535009,1,0,0,0,0,0,1,0,0,0,0,0,0
50.424357,30.541938,6,1,0,0,0,0,5,0,0,0,0,1,0
50.42357,30.520083,1,0,0,0,0,0,0,0,0,0,1,0,0
50.416309,30.458265,2,0,0,0,0,0,1,0,0,0,1,0,0
50.414254,30.460902,1,0,0,0,0,0,0,0,0,0,0,0,0
50.4158538,30.4592622,1,0,0,0,0,0,0,0,0,0,0,0,0
50.416188,30.460407,3,0,0,0,0,0,1,0,0,0,0,0,0
50.416837,30.460552,2,0,0,0,0,0,2,0,0,0,0,0,0
50.462947,30.615033,1,0,0,0,0,0,1,0,0,0,0,0,0
50.462805,30.616535,2,0,0,0,0,0,0,0,0,0,1,1,0
50.463926,30.615112,2,0,0,0,0,0,2,0,0,0,0,0,0
50.463551,30.617096,3,1,0,0,0,0,1,2,0,0,0,0,0
50.466209,30.616933,1,0,0,0,0,0,0,0,0,0,0,0,0
50.464456,30.617836,4,1,0,0,0,0,4,0,0,0,0,0,0
50.467344,30.61846,3,0,0,0,0,0,1,1,0,0,0,0,0
