Connect;ВСЬОГО;ТЯЖКІ ТА О.ТЯЖКІ;ВБИВСТВО;УМИСНЕ ТЯЖ ТІЛ УШКОДЖЕННЯ;ТЯЖ ТІЛ УШКОДЖ ЗІ СМЕРТ. НАСЛ.;ЗГВАЛТУВАННЯ;КРАДІЖКА;ГРАБІЖ;РОЗБІЙ;ВИМАГАННЯ;ШАХРАЙСТВО;ЗАВОЛОД Т/З;ХУЛІГАНСТВО
Киев УЛ. ПИРОГОВА 5-В;1;1;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. ПЛЕЩЕЕВА 34А;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПОБЕДЫ 17-23;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПОБЕДЫ 80/57;2;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. ПОДГОРНАЯ 12;2;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. ПОЖАРСКОГО 1;6;1;0;0;0;0;3;0;0;0;1;0;0
Киев УЛ. ПОЖАРСКОГО 2;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПОЖАРСКОГО 4;3;1;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. ПОЖАРСКОГО 5;4;0;0;0;0;0;1;0;0;0;1;0;0
Киев УЛ. ПОЖАРСКОГО 8;3;1;0;0;0;0;2;1;0;0;0;0;0
Киев УЛ. ПОЖАРСКОГО 9;2;1;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. ПОКРОВСКАЯ 8;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. ПОКРОВСКАЯ 9;1;1;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. ПОЛЕВАЯ 19/8;1;1;0;1;1;0;0;0;0;0;0;0;0
Киев УЛ. ПОЛЕССКАЯ 10;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПОЛЕССКАЯ 15;3;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. ПОЛЕССКАЯ 22;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПОЛЕССКАЯ 26;3;1;0;0;0;0;3;0;0;0;0;0;0
Киев УЛ. ПОЛЕССКАЯ 28;2;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. ПОЛТАВСКАЯ 3;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПОЛУПАНОВА 0;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПОЛУПАНОВА 6;2;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. ПОЛЯРНАЯ 17А;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПОЛЯРНАЯ 5-А;12;5;0;0;0;0;8;1;0;0;0;0;1
Киев УЛ. ПОЛЯРНАЯ 6-А;2;1;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. ПОЛЯРНАЯ 6-Б;2;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПОЛЯРНАЯ 6-В;3;0;0;0;0;0;2;0;0;0;1;0;0
Киев УЛ. ПОЛЯРНАЯ 7-Б;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. ПОЛЯРНАЯ 8-А;3;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПОЛЯРНАЯ 8-Б;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПОЛЯРНАЯ 8-Г;2;1;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. ПОЛЯРНАЯ 8-Д;4;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПОЛЯРНАЯ 8-Е;2;1;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. ПОПУДРЕНКО 0;4;0;0;0;0;0;4;0;0;0;0;0;0
Киев УЛ. ПОПУДРЕНКО 1;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПОПУДРЕНКО 2;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. ПОПУДРЕНКО 3;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПОПУДРЕНКО 4;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. ПОПУДРЕНКО 5;3;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. ПОПУДРЕНКО 7;53;2;0;0;0;0;29;3;0;0;13;0;1
Киев УЛ. ПОПУДРЕНКО 9;5;1;0;0;0;0;3;0;0;0;1;0;0
Киев УЛ. ПРАЖСКАЯ 8-А;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. ПРИВЕТНАЯ 19;1;1;0;0;0;0;0;0;0;0;0;1;0
Киев УЛ. ПРИЛУЖНАЯ 10;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПРИЛУЖНАЯ 14;3;1;0;0;0;0;3;0;0;0;0;0;0
Киев УЛ. ПРИМАЧЕНКО 3;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. ПРИМАЧЕНКО 5;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПРИМАЧЕНКО 7;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПРИОЗЕРНАЯ 0;2;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. ПРИОЗЕРНАЯ 4;2;1;0;0;0;0;1;1;0;0;0;0;0
Киев УЛ. ПРИОЗЕРНАЯ 6;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПРИОЗЕРНАЯ 8;2;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПРИРЕЧНАЯ 11;6;1;0;0;0;0;3;1;0;0;0;0;0
Киев УЛ. ПРИРЕЧНАЯ 13;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПРИРЕЧНАЯ 17;10;4;0;0;0;0;7;2;0;0;0;0;0
Киев УЛ. ПРИРЕЧНАЯ 19;11;5;0;0;0;0;8;1;0;0;0;0;0
Киев УЛ. ПРИРЕЧНАЯ 27;12;3;0;0;0;0;4;0;0;0;4;0;0
Киев УЛ. ПРИРЕЧНАЯ 29;6;0;0;0;0;0;3;0;0;0;0;0;0
Киев УЛ. ПРИРЕЧНАЯ 31;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПРИРЕЧНАЯ 32;4;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПРИРЕЧНАЯ 33;2;1;1;0;0;0;0;0;0;0;0;0;0
Киев УЛ. ПРИРЕЧНАЯ 35;6;1;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. ПРИРЕЧНАЯ 37;12;1;0;0;0;0;12;0;0;0;0;0;0
Киев УЛ. ПРОРЕЗНАЯ 10;12;0;0;0;0;0;2;0;0;0;2;0;0
Киев УЛ. ПРОРЕЗНАЯ 12;63;0;0;0;0;0;13;1;0;0;10;0;0
Киев УЛ. ПРОРЕЗНАЯ 16;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПРОРЕЗНАЯ 19;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. ПРОРЕЗНАЯ 22;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. ПРОРЕЗНАЯ 23;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПУХОВСКАЯ 1А;6;1;0;0;0;0;1;0;0;0;1;0;0
Киев УЛ. ПУХОВСКАЯ 1Б;1;1;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. ПУХОВСКАЯ 2А;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПУХОВСКАЯ 7А;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. ПУШКИНСКАЯ 1;2;0;0;0;0;0;1;0;0;0;1;0;0
Киев УЛ. ПУШКИНСКАЯ 4;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПУШКИНСКАЯ 5;1;1;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. ПШЕНИЧНАЯ 10;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ПШЕНИЧНАЯ 2А;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. РАДОСТНАЯ 18;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. РАДУЖНАЯ 2-А;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РАДУЖНАЯ 2-Б;10;4;0;0;0;0;6;1;0;0;1;0;0
Киев УЛ. РАДУЖНАЯ 3-А;2;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. РАДУЖНАЯ 3-Б;14;2;0;0;0;0;8;0;0;0;1;0;0
Киев УЛ. РАДУЖНАЯ 4-А;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РАДУЖНАЯ 9-А;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РАДУНСКАЯ 10;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. РАДУНСКАЯ 11;3;1;0;0;0;0;1;0;0;0;1;0;0
Киев УЛ. РАДУНСКАЯ 12;1;1;0;0;0;0;0;1;0;0;0;0;0
Киев УЛ. РАДУНСКАЯ 13;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РАДУНСКАЯ 14;3;0;0;0;0;0;0;0;0;0;2;0;0
Киев УЛ. РАДУНСКАЯ 16;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. РАДУНСКАЯ 18;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РАДУНСКАЯ 26;5;1;0;0;0;0;3;0;0;1;0;0;0
Киев УЛ. РАДУНСКАЯ 28;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РАДУНСКАЯ 32;6;0;0;0;0;0;5;0;0;0;0;0;0
Киев УЛ. РАДУНСКАЯ 36;3;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РАДУНСКАЯ 38;4;0;0;0;0;0;1;0;0;0;1;0;0
Киев УЛ. РАДУНСКАЯ 3А;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РАДУНСКАЯ 40;4;0;0;0;0;0;4;0;0;0;0;0;0
Киев УЛ. РАДУНСКАЯ 44;3;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РАДУНСКАЯ 46;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. РАДУНСКАЯ 5А;2;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РАДУНСКАЯ 5Б;2;1;0;0;0;0;0;0;1;0;0;0;0
Киев УЛ. РАДУНСКАЯ 63;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. РАДУНСКАЯ 96;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РАДУНСКАЯ 9А;2;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. РАДУНСКАЯ 9Б;3;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. РАДУНСЬКА 32;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. РАЙДУЖНА 3-А;1;1;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. РЕВУЦКОГО 12;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РЕВУЦКОГО 13;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РЕВУЦКОГО 15;2;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. РЕВУЦКОГО 17;3;0;0;0;0;0;2;1;0;0;0;0;0
Киев УЛ. РЕВУЦКОГО 18;3;1;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. РЕВУЦКОГО 20;2;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РЕВУЦКОГО 21;1;1;0;0;0;0;0;1;0;0;0;0;0
Киев УЛ. РЕВУЦКОГО 23;3;2;1;0;0;0;1;1;0;0;0;0;0
Киев УЛ. РЕВУЦКОГО 25;5;1;0;0;0;0;5;0;0;0;0;0;0
Киев УЛ. РЕВУЦКОГО 27;1;1;0;0;0;0;0;1;0;0;0;0;0
Киев УЛ. РЕВУЦКОГО 29;7;2;0;0;0;0;2;1;0;0;1;0;0
Киев УЛ. РЕВУЦКОГО 2Г;2;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РЕВУЦКОГО 31;3;3;0;0;0;0;1;1;0;0;0;0;0
Киев УЛ. РЕВУЦКОГО 32;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. РЕВУЦКОГО 33;6;2;0;1;0;0;3;2;0;0;0;0;0
Киев УЛ. РЕВУЦКОГО 34;7;1;0;0;0;0;5;0;0;0;0;0;2
Киев УЛ. РЕВУЦКОГО 35;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РЕВУЦКОГО 38;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РЕВУЦКОГО 40;7;0;0;0;0;0;4;0;0;0;0;0;0
Киев УЛ. РЕВУЦКОГО 41;2;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РЕВУЦКОГО 44;9;2;0;0;0;0;6;1;0;0;1;0;1
Киев УЛ. РЕВУЦКОГО 45;1;1;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. РЕВУЦКОГО 46;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РЕВУЦКОГО 50;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РЕВУЦКОГО 5А;3;1;0;0;0;0;0;1;0;0;0;0;0
Киев УЛ. РЕВУЦКОГО 7А;2;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РЕВУЦКОГО 7Б;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. РЕЗЕРВНАЯ 12;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РЕЗЕРВНАЯ 16;2;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. РИЖСКАЯ 55-А;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РИЖСКАЯ 6/11;1;1;0;0;0;0;0;1;0;0;0;0;0
Киев УЛ. РИЖСКАЯ 73-А;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. РИЖСКАЯ 73-Б;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. РИЖСКАЯ 75/1;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РОЖЕВАЯ 19/2;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РОССИЙСКАЯ 0;2;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. РОССИЙСКАЯ 3;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РОСТОВСКАЯ 8;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. РУДНЕВА 9/70;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РУСАНОВСКАЯ ;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. РЫБАЛЬСКАЯ 2;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. РЫБАЛЬСКАЯ 3;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. РЫБАЛЬСКАЯ 4;2;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. РЫБАЛЬСКАЯ 5;1;1;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. РЫБАЛЬСКАЯ 8;1;1;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. РЫЛЕЕВА 7/11;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. САДОВАЯ 15/5;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. САДОВАЯ 5/15;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. САДОВАЯ 50-А;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. САДОВАЯ 53-А;1;0;0;0;0;0;0;1;0;0;0;0;0
Киев УЛ. САДОВАЯ 73-А;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. САДОВЫЙ 3-Й ;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. САЛЮТНА 2/46;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. САЛЮТНАЯ 1-Б;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. САЛЮТНАЯ 11А;15;0;0;0;0;0;0;0;0;0;15;0;0
Киев УЛ. САЛЮТНАЯ 2 Б;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. САЛЮТНАЯ 2-Б;12;0;0;0;0;0;12;0;0;0;0;0;0
Киев УЛ. САЛЮТНАЯ 5-А;3;0;0;0;0;0;2;0;0;0;1;0;0
Киев УЛ. САЛЮТНВЯ 11А;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. САНАТОРНАЯ 5;2;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. САНАТОРНАЯ 9;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. СВЕРДЛОВА 11;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. СЕВЕРНАЯ 2-А;4;1;0;0;0;0;2;1;0;0;0;0;1
Киев УЛ. СЕВЕРНАЯ 2-Б;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СЕВЕРНАЯ 2-В;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. СЕВЕРНАЯ 2-Г;3;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. СЕВЕРНАЯ 2-Д;3;0;0;0;0;0;1;0;0;0;1;0;0
Киев УЛ. СЕВЕРНАЯ 3-А;1;0;0;0;0;0;0;0;0;0;0;1;0
Киев УЛ. СЕВЕРНАЯ 4-А;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СЕВЕРНАЯ 48А;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СЕВЕРНАЯ 6-А;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СЕВЕРНАЯ 8-Е;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. СЕЛЬСКАЯ 1-А;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. СЕЛЯНСКАЯ 14;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. СЕМИРЕНКО 10;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СЕМИРЕНКО 13;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СЕМИРЕНКО 17;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СЕМИРЕНКО 22;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. СЕМИРЕНКО 23;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СЕМИРЕНКО 31;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СЕМИРЕНКО 34;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СЕМОФОРНАЯ 1;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СЕЧЕНОВА 7-А;2;2;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. СИВАШСКАЯ 14;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СИМИРЕНКА 23;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СИМИРЕНКО 10;5;1;0;0;0;0;4;1;0;0;0;0;0
Киев УЛ. СИМИРЕНКО 11;2;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. СИМИРЕНКО 12;2;0;0;0;0;0;1;0;0;0;1;0;0
Киев УЛ. СИМИРЕНКО 13;3;1;0;0;0;0;3;0;0;0;0;0;0
Киев УЛ. СИМИРЕНКО 16;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СИМИРЕНКО 17;3;1;0;0;0;0;0;2;0;0;0;0;1
Киев УЛ. СИМИРЕНКО 18;3;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СИМИРЕНКО 19;2;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СИМИРЕНКО 20;2;0;0;0;0;0;0;1;0;0;1;0;0
Киев УЛ. СИМИРЕНКО 21;2;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. СИМИРЕНКО 22;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СИМИРЕНКО 23;2;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. СИМИРЕНКО 24;2;2;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СИМИРЕНКО 25;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СИМИРЕНКО 26;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СИМИРЕНКО 27;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СИМИРЕНКО 28;3;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. СИМИРЕНКО 29;2;1;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. СИМИРЕНКО 31;6;0;0;0;0;0;6;0;0;0;0;0;0
Киев УЛ. СИМИРЕНКО 34;4;1;0;0;0;0;4;0;0;0;0;0;0
Киев УЛ. СИМИРЕНКО 38;3;0;0;0;0;0;2;0;0;0;0;0;1
Киев УЛ. СИМОНЕНКО 10;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СКВИРСКАЯ 24;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СМЕЛЯНСКАЯ 1;5;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СМЕЛЯНСКАЯ 3;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СМЕЛЯНСКАЯ 6;2;0;0;0;0;0;1;0;0;0;1;0;0
Киев УЛ. СМЕЛЯНСКАЯ 8;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СМЕЛЯНСКАЯ 9;2;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. СМОЛЕНСКАЯ 0;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. СМОЛЕНСКАЯ 5;2;2;0;0;0;0;0;2;0;0;0;0;0
Киев УЛ. СМОЛЕНСКАЯ 6;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. СМОЛЕНСКАЯ 8;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. СОВЕТСКАЯ 17;1;0;0;0;0;0;0;1;0;0;0;0;0
Киев УЛ. СОВЕТСКАЯ 40;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. СОВЕТСКАЯ 90;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. СОКАЛЬСКАЯ 1;3;0;0;0;0;0;2;0;0;1;0;0;0
Киев УЛ. СОКАЛЬСКАЯ 4;6;0;0;0;0;0;1;0;0;0;1;0;0
Киев УЛ. СОКАЛЬСКАЯ 6;6;0;0;0;0;0;3;1;0;0;1;0;0
Киев УЛ. СОКАЛЬСКАЯ 8;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СОЛНЕЧНАЯ 53;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СОСНИЦКАЯ 10;3;0;0;0;0;0;0;0;0;0;2;0;0
Киев УЛ. СОСНИЦКАЯ 19;7;1;0;0;0;0;5;1;0;0;1;0;0
Киев УЛ. СОСНИЦКАЯ 21;6;1;0;0;0;0;3;1;0;0;1;0;0
Киев УЛ. СОФИЕВСКАЯ 2;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СОФИЕВСКАЯ 4;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СОФИЕВСКАЯ 6;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СОШЕНКО 12-А;1;1;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. СПАССКАЯ 3/7;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СПАССКАЯ 7/3;3;0;0;0;0;0;0;0;0;0;2;0;0
Киев УЛ. СПАССКАЯ 8-А;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. СПАССКАЯ 9-А;5;0;0;0;0;0;4;0;0;0;0;0;0
Киев УЛ. СПОРТИВНАЯ 1;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СПОРТИВНАЯ 3;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СТАДИОННАЯ 8;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СТЕЦЕНКО 2-А;5;3;0;0;0;0;5;0;0;0;0;0;0
Киев УЛ. СТЕЦЕНКО 4-А;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. СТОЛЕТОВА 42;1;1;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. СТОЛЕТОВА 51;1;0;0;0;0;0;0;0;0;0;1;0;0
Киев УЛ. СТОЛИЧНОЕ 15;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. СТОЛИЧНОЕ 27;1;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СТРОИТЕЛЕЙ 0;3;0;0;0;0;0;1;2;0;0;0;0;0
Киев УЛ. СТРОИТЕЛЕЙ 1;2;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СТРОИТЕЛЕЙ 2;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СТРОИТЕЛЕЙ 3;2;0;0;0;0;0;1;0;0;0;1;0;0
Киев УЛ. СТРОИТЕЛЕЙ 4;2;1;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. СТРОИТЕЛЕЙ 5;5;1;0;0;0;0;5;0;0;0;0;0;0
Киев УЛ. СТРОИТЕЛЕЙ 6;1;0;0;0;0;0;0;1;0;0;0;0;0
Киев УЛ. СТРОИТЕЛЕЙ 8;6;0;0;0;0;0;3;0;0;0;3;0;0
Киев УЛ. СУМСКАЯ 38-Б;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. СЫРЕЦКАЯ 3/3;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. ТАМПЕРЕ 1/22;2;1;0;0;0;0;1;1;0;0;0;0;0
Киев УЛ. ТАМПЕРЕ 11-А;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ТАМПЕРЕ 12-Б;3;1;0;0;0;0;1;2;0;0;0;0;0
Киев УЛ. ТАМПЕРЕ 13-А;1;0;0;0;0;0;0;1;0;0;0;0;0
Киев УЛ. ТАМПЕРЕ 13-Б;1;0;0;0;0;0;0;0;0;0;0;1;0
Киев УЛ. ТАМПЕРЕ 17/2;2;1;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ТАТАРСКАЯ 20;2;0;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. ТАТАРСКАЯ 21;2;1;0;0;0;0;2;0;0;0;0;0;0
Киев УЛ. ТАТАРСКАЯ 32;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ТАТАРСКАЯ 38;4;2;0;0;0;0;1;1;0;0;2;0;0
Киев УЛ. ТЕПЛОВОЗНАЯ ;1;0;0;0;0;0;1;0;0;0;0;0;0
Киев УЛ. ТЕСЛЯРСКАЯ 2;1;0;0;0;0;0;0;0;0;0;0;0;0
Киев УЛ. ТЕШЕБАЕВА 12;2;0;0;0;0;0;1;0;0;0;1;0;0
Киев УЛ. ТЕШЕБАЕВА 52;1;0;0;0;0;0;1;0;0;0;0;0;0
